uuid,schooltype3,age3,gender2,major2
634788f2-5392-4ad6-bd2e-97d90bf72ceb,graduate school,18-19,male,non-STEMB
2986728b-b332-4e1d-9135-233923e23380,4-year university,20-24,male,STEM
f17190fe-c6a3-406d-bed0-713805c47679,2-year college,20-24,male,non-STEMB
1eaeb007-f7af-4824-a12f-dea697cbd6c1,4-year university,25-34,male,non-STEMB
99f86605-73ce-46f7-8200-ad8db9e47a75,graduate school,15-17,female,non-STEMB
dd956b8a-7ded-4065-9404-d1e38d4d3b90,graduate school,20-24,male,STEM
c42b9d80-74af-4f7a-9c19-7569918ee999,2-year college,18-19,female,non-STEMB
e421ed60-a51d-440d-a675-de6015a60fcd,2-year college,35+,Non-Binary,STEM
3b15e121-507d-4670-a6c4-9c4c81031dc6,4-year university,18-19,female,non-STEMB
7332455d-cc5c-444c-98a7-233ccac20ede,4-year university,25-34,female,non-STEMB
2d9e1390-85b6-406c-93e4-c2aed274719e,4-year university,35+,male,non-STEMB
0489d8d5-0d13-4a7b-8998-0ed6e441ca5b,4-year university,18-19,male,STEM
c90187d6-56bb-42fa-807f-88c1952dca18,graduate school,20-24,female,STEM
44f63f6d-6d27-41d5-b5f5-3e55e145e40b,4-year university,18-19,female,non-STEMB
fe2aa8dc-680a-4762-b52c-8561ce7b1806,4-year university,25-34,female,STEM
7c1d7fce-43c7-44fe-9d6e-59a994b23f39,graduate school,20-24,female,non-STEMB
d586992a-4d53-47c7-82bc-e5cfbc784f1d,4-year university,20-24,female,STEM
5f2dfa68-c030-4063-b1b5-ae770a240718,graduate school,20-24,Prefer not to say,STEM
cd5d2a6c-1bb8-4615-a2ec-fdc3d34e50aa,4-year university,35+,female,STEM
46e3ec7d-38fb-4f83-ad2f-5990072af16e,4-year university,18-19,female,non-STEMB
0e394919-2447-495f-a804-2d760a79f96a,2-year college,20-24,female,non-STEMB
9605cdf0-e84c-4dcd-a5a6-d3e3ac80f409,graduate school,20-24,male,non-STEMB
28c95b0a-589c-44ac-806b-8a2525b3bc96,graduate school,18-19,female,non-STEMB
92facea4-4227-4b74-8426-e73f5daa2949,4-year university,20-24,male,non-STEMB
a5d10beb-5996-4b51-a2af-0921a906a532,2-year college,25-34,male,non-STEMB
7c5e6af1-f46c-42d6-a82c-5803f5da802e,4-year university,20-24,male,non-STEMB
dba5c583-081b-4b6d-ba5a-631a24b95876,4-year university,20-24,male,non-STEMB
0bd60a8a-a5f4-466c-9875-20dfc64de7b1,2-year college,20-24,female,non-STEMB
622eb995-b45c-48ad-a6b3-b463223eedcb,4-year university,20-24,male,STEM
f95c2b6f-52df-4caf-b0fd-db708bdfdf9f,4-year university,20-24,male,STEM
68b9f5d7-e9af-430b-aaf0-4cad8254c753,4-year university,20-24,female,STEM
c3699ef2-a4ed-41b7-b87f-8416df5a9b88,4-year university,35+,female,STEM
1f2379cf-8e94-4c4a-9898-38f825003684,4-year university,25-34,female,STEM
bac4837e-d2ad-47a5-884f-a9205932bbf1,4-year university,18-19,female,non-STEMB
c0c72e25-6f85-4937-87de-aa3da3ad686c,4-year university,35+,male,STEM
5ab14703-dc69-4d98-9fc4-dfad67ae643a,4-year university,20-24,female,non-STEMB
5a43d61e-730b-4472-b96d-1dbd80db5bd1,2-year college,20-24,female,STEM
a742d436-fe38-4125-a617-767303cbccd0,2-year college,25-34,male,non-STEMB
0dbbc8ab-6a6a-441d-a43a-4ec2417cd869,2-year college,35+,male,non-STEMB
89a55b73-0a22-4c33-8333-60a8b763e2ef,4-year university,18-19,male,non-STEMB
0495bbc9-ea2e-4399-9ee9-5d704356500d,4-year university,20-24,male,non-STEMB
443eba71-f957-4010-9280-04eccbd140a0,2-year college,20-24,female,STEM
4dec52af-12d0-43c1-a45e-1948003203bd,2-year college,20-24,male,non-STEMB
ef366010-7fd8-4ad3-955f-acd0c539bdc2,4-year university,25-34,female,non-STEMB
4e8c645f-60f5-4c89-8826-32ae8f594c96,2-year college,20-24,female,STEM
a9958340-29ab-431d-b95f-5eb4b1f6df18,4-year university,25-34,male,STEM
dafff2db-a275-4105-ade1-03d673030c5d,graduate school,20-24,female,non-STEMB
9f11ffb3-d856-4b4a-8d62-e69f1d16fca0,4-year university,20-24,female,non-STEMB
b1481a04-aeb8-4453-a825-b0436ad08141,4-year university,20-24,female,non-STEMB
460dc051-905f-4e38-8ebd-889daab70cbe,2-year college,25-34,male,STEM
4d1ebc1e-c06c-474b-b780-30ca07fc6dff,4-year university,15-17,male,STEM
cb931e64-34b7-43e2-85e1-17a50f553f4e,4-year university,20-24,female,non-STEMB
de80334c-1279-4fef-96ab-5fce75488859,graduate school,20-24,female,non-STEMB
2fee2484-2e18-406e-b75b-5deca9f4dd0c,2-year college,18-19,female,STEM
2927733a-a2f6-4c1e-a6b5-24d140165911,2-year college,20-24,female,STEM
9a58e32c-ce5e-4ea6-b3d8-4a360e8a1bd0,4-year university,18-19,female,non-STEMB
c8a045fd-6e9d-4999-a66b-c4c9926ba2b7,4-year university,35+,male,STEM
7050cd02-9c22-422d-bd02-9408785c0e3e,4-year university,25-34,female,STEM
d18fa4ae-58d9-4150-ad44-9eb692918b79,2-year college,18-19,female,non-STEMB
7c508c1b-de6d-4081-bcdc-708b0efd0fd9,4-year university,20-24,female,STEM
987902d5-2158-4935-94a5-2959ad8045e5,4-year university,20-24,male,non-STEMB
5ce4dea4-5ae6-412f-8eec-9cfbceb1350c,4-year university,20-24,female,STEM
9289f315-e484-47e0-9d71-ce45b0796ef7,graduate school,25-34,male,STEM
e7f36c77-52ed-4cdb-9ad8-4d44835048f6,4-year university,25-34,female,STEM
0d86db2a-360e-48b7-8e28-ab2e3323b2cf,4-year university,20-24,female,non-STEMB
44c6be1b-c049-4b3f-a72b-06d5f43e6d1e,2-year college,20-24,female,STEM
7d786cee-1178-483b-a577-72241db54ffa,2-year college,20-24,female,STEM
5cb136dc-34c6-4977-963d-797e2e66536a,2-year college,25-34,male,non-STEMB
f31e3ecd-56a0-4a8a-815c-a94f378d4717,graduate school,20-24,female,STEM
de5415c6-c9bc-4a0e-ad6a-9cc99fd864fc,4-year university,25-34,female,STEM
8d00e6e5-ad3d-4b71-88c7-0d799a53c666,2-year college,20-24,female,STEM
b7fc0da9-fa62-49df-b615-8a7f23143d04,4-year university,35+,male,non-STEMB
7044990b-d5ee-4026-a0ad-8918f144e6e1,graduate school,18-19,female,non-STEMB
9de72f19-274e-4336-bcb7-23fa2809b108,graduate school,35+,female,non-STEMB
a2ac8da7-99f1-4b0d-b3d1-1f6b1d7c17f8,4-year university,20-24,female,STEM
7bdb261d-3e45-4212-86bc-29c2761c9da0,graduate school,18-19,female,non-STEMB
89caafd8-0814-4634-a66d-705ad3996392,graduate school,20-24,male,non-STEMB
60f7e4d6-2cb1-42cf-8c93-7f48dd75aa7f,4-year university,25-34,female,STEM
707a2c56-b627-4cf1-a67e-7f38b5a15f80,4-year university,25-34,female,STEM
c447d491-b4cc-4076-9d48-42b4cf942f8a,2-year college,20-24,male,non-STEMB
b4129a18-a061-492f-b282-dc6d6f2e567c,4-year university,20-24,female,non-STEMB
684259be-a35d-492b-b662-e030a441a3ca,4-year university,20-24,female,non-STEMB
c8889ffc-01c0-4d99-b2e9-e5a7906bfd02,4-year university,20-24,female,STEM
331813e4-c1a7-4fe6-afaf-6086840a8fcd,4-year university,18-19,male,STEM
1d8fa9b9-3ca2-4368-9512-17fc8501f208,graduate school,25-34,female,non-STEMB
cdf6c78c-ca36-4a4c-bc8b-a50a74001b42,4-year university,35+,male,STEM
52a9925c-8e60-40d2-9ee6-cd40374b7c3a,4-year university,35+,female,non-STEMB
